name,id,description,url,sequence,lastImportData
mPdpSorKids,81118,family sor kids,/joya-nursery-rocking-chair-and-ottoman/f81118,1,3/16/2023 10:23:12
mPdpSuperSor,1012257,family super sor,/pacific-leather-bench-sofa-with-wood-legs/f1012257,1,3/16/2023 10:23:12
PdpContent-MTO-DeliveryTerms,420056,Amna Ottoman,/amna-ottoman/s420056,1,
PdpContent-MTO-DeliveryTerms,472478,Powell Grey Leather Wingback Lounge Chair,/powell-grey-leather-wingback-lounge-chair/s472478,2,
PdpContent-REF-DeliveryTerms,122187,Pacific Deep-Seat Armless Sofa with Wood Legs,/pacific-deep-seat-armless-sofa-with-wood-legs/s122187,2,
PdpContent-REF-DeliveryTerms,122205,Pacific Leather Right-Arm Sofa with Wood Legs,/pacific-leather-right-arm-sofa-with-wood-legs/s122205,3,
PdpContent-REF-DeliveryTerms,122224,Pacific Leather Left-Arm Sofa with Wood Legs,/pacific-leather-left-arm-sofa-with-wood-legs/s122224,4,
PdpContent-REF-DeliveryTerms,122315,Pacific Leather Ottoman with Wood Legs,/pacific-leather-ottoman-with-wood-legs/s122315,5,
PdpContent-REF-DeliveryTerms,146138,Gather Deep Right-Arm Double-Wide Chaise Lounge,/gather-deep-right-arm-double-wide-chaise-lounge/s146138,1,
PdpContent-Stock-Delivery,131117,Alex Grey Velvet Accent Chair,/alex-grey-velvet-accent-chair/s131117,1,
PdpContent-Stock-Delivery,222233,Prairie 40" Woven Wood Storage Cabinet,/prairie-40-woven-wood-storage-cabinet/s222233,4,
PdpContent-Stock-Delivery,237058,Fuse Ottoman,/fuse-ottoman/s237058,3,
PdpContent-Stock-Delivery,244284,Shinola Michigan Ottoman,/shinola-michigan-ottoman/s244284,5,
PdpContent-Stock-Delivery,502031,Williams Accent Chair by Leanne Ford,/williams-accent-chair-by-leanne-ford/s502031,1,
PdpContent-Stock-Delivery,687213,Knot Rustic Dining Table,/knot-rustic-dining-table/s687213,2,
PdpDetail-EA-Ship,433014,Ooni Folding Table,/ooni-folding-table/s433014,1,
PdpDetail-EA-Ship,433030,Ooni Karu 16 Pizza Door,/ooni-karu-16-pizza-door/s433030,2,
PdpDetail-EA-Ship,439118,Large 16" Non-Stick Roaster,/large-16-non-stick-roaster/s439118,3,
PdpDetail-EA-Ship,444488,Britta Optic 3-Gallon Punch Bowl,/britta-optic-3-gallon-punch-bowl/s444488,4,
PdpDetail-EA-Ship,444589,Britta Optic Punch Cup,/britta-optic-punch-cup/s444589,5,
PdpDetail-EA-ShipTerms-Mono,115017,Wool "Joy" Christmas Stocking by Lucia Eames,/wool-joy-christmas-stocking-by-lucia-eames/s115017,3,
PdpDetail-EA-ShipTerms-Mono,115167,Wool Dove Christmas Stocking by Lucia Eames,/wool-dove-christmas-stocking-by-lucia-eames/s115167,1,
